data_year,Friend,Acquaintance,Boyfriend,Brother,Common-Law Husband,Common-Law Wife,Daughter,Employee,Employer,Ex-Husband,Ex-Wife,Father,Girlfriend,Homosexual Relationship,Husband,In-Law,Mother,Neighbor,Other Family,Other - known to victim,Sister,Son,Stepdaugther,Stepfather,Stepson,Stepmother,Stranger,Unknown,Wife
1980,744,5239,275,229,163,125,171,8,10,38,68,166,382,41,630,225,109,292,273,330,46,245,17,67,47,7,2777,8391,877
1981,768,5072,268,246,145,110,165,13,13,44,73,177,356,62,620,208,100,297,246,507,31,247,21,59,43,9,2993,6462,834
1982,645,4829,266,216,143,115,179,15,20,46,71,139,361,76,539,204,117,305,284,553,33,291,29,65,36,8,3208,6063,784
1983,754,4594,276,231,154,118,174,16,17,40,79,142,396,68,533,183,125,239,299,612,34,301,21,54,40,7,2723,5795,796
1984,670,4462,269,225,121,82,154,17,13,36,54,133,412,79,413,152,115,210,272,473,46,215,21,65,36,8,2913,4978,763
1985,707,4617,241,189,99,87,192,21,18,28,72,133,432,65,440,165,114,213,247,602,32,243,17,53,48,6,2467,5301,819
1986,980,4817,285,195,69,110,182,9,14,41,72,134,497,60,452,149,100,255,277,722,36,304,12,63,29,9,2433,6319,789
1987,923,4470,264,197,77,90,185,7,22,29,55,114,415,69,382,158,104,239,293,625,42,247,21,45,38,8,2312,5901,756
1988,747,4493,248,169,72,100,177,12,16,16,69,120,437,61,345,132,108,194,217,746,34,241,18,49,30,8,2148,6340,740
1989,878,4660,276,173,86,86,196,15,12,20,44,125,474,45,355,128,110,209,274,641,31,234,21,43,33,4,2418,6849,627
1990,835,4853,264,195,76,76,173,17,19,18,73,119,441,45,330,115,90,211,264,632,31,246,16,41,35,12,2743,7735,687
1991,755,4549,268,188,67,73,200,11,16,18,50,132,483,47,266,109,124,213,290,885,24,272,14,37,27,7,3178,8837,686
1992,833,4321,249,162,90,125,186,10,19,17,57,113,499,30,271,118,115,202,269,1536,37,272,19,46,32,1,2968,9571,675
1993,831,4459,258,170,64,103,189,19,18,12,67,123,582,49,263,80,116,195,264,1468,30,262,24,41,43,4,3128,9770,704
1994,725,4342,231,161,74,94,178,7,12,13,67,128,516,62,261,81,107,162,279,1482,35,262,17,44,40,5,2799,9434,636
1995,562,3869,200,124,58,72,194,6,16,13,42,111,488,36,204,75,105,169,278,1275,23,242,23,35,27,4,2818,8673,611
1996,476,3562,174,101,38,71,175,8,12,9,50,104,440,30,184,66,91,152,211,1117,18,224,20,21,22,5,2308,6877,547
1997,434,3276,158,124,29,57,178,3,14,10,46,109,435,23,153,71,71,145,206,774,21,233,14,32,28,7,2014,6823,489
1998,415,2940,189,89,42,58,159,9,12,13,49,92,435,21,143,72,88,121,178,707,26,212,17,25,25,4,1784,5913,536
1999,397,2599,150,75,23,42,184,6,16,10,38,94,430,18,127,49,89,91,205,619,21,191,19,39,17,3,1463,5708,476
2000,293,2304,156,92,25,48,144,10,7,10,48,86,425,15,137,43,92,106,186,665,21,184,18,29,31,7,1669,6058,511
2001,347,2364,159,76,18,52,176,6,12,12,35,76,438,17,123,68,86,90,186,610,27,222,26,26,23,4,1778,6702,507
2002,342,2494,159,91,24,43,170,6,10,7,39,76,442,26,107,45,106,93,215,594,20,195,17,26,26,6,1910,6705,502
2003,344,2540,160,85,13,50,153,8,18,9,41,99,465,16,104,58,93,91,226,635,26,221,21,24,35,3,1694,6980,465
2004,302,2465,148,86,16,55,173,8,11,10,38,84,435,29,130,57,100,109,211,673,25,196,15,22,23,6,1783,6792,480
2005,315,2464,150,93,13,43,163,4,7,8,39,81,464,20,122,65,111,83,213,673,22,206,16,35,23,3,1990,7336,499
2006,342,2644,157,80,19,53,148,12,10,7,26,82,444,18,105,59,107,111,218,744,17,223,18,26,32,4,1882,7309,481
